PMID,Title,Abstract,Authors,Keywords,Publication Year,Journal Title,Publication Type,Grants
38550927,Optimizing human performance in extreme environments through precision medicine: From spaceflight to high-performance operations on Earth.,"Humans operating in extreme environments often conduct their operations at the edges of the limits of human performance. Sometimes, they are required to push these limits to previously unattained levels. As a result, their margins for error in execution are much smaller than that found in the general public. These same small margins for error that impact execution may also impact risk, safety, health, and even survival. Thus, humans operating in extreme environments have a need for greater refinement in their preparation, training, fitness, and medical care. Precision medicine (PM) is uniquely suited to address the needs of those engaged in these extreme operations because of its depth of molecular analysis, derived precision countermeasures, and ability to match each individual (and his or her specific molecular phenotype) with any given operating context (environment). Herein, we present an overview of a systems approach to PM in extreme environments, which affords clinicians one method to contextualize the inputs, processes, and outputs that can form the basis of a formal practice. For the sake of brevity, this overview is focused on molecular dynamics, while providing only a brief introduction to the also important physiologic and behavioral phenotypes in PM. Moreover, rather than a full review, it highlights important concepts, while using only selected citations to illustrate those concepts. It further explores, by demonstration, the basic principles of using functionally characterized molecular networks to guide the practical application of PM in extreme environments. At its core, PM in extreme environments is about attention to incremental gains and losses in molecular network efficiency that can scale to produce notable changes in health and performance. The aim of this overview is to provide a conceptual overview of one approach to PM in extreme environments, coupled with a selected suite of practical considerations for molecular profiling and countermeasures.",Schmidt MA; Jones JA; Mason CE,multi-omics; pharmacogenomics; precision medicine; preventive medicine; therapeutic innovations,2023,Cambridge prisms. Precision medicine,Journal Article; Review,
33870146,NASA GeneLab RNA-seq consensus pipeline: standardized processing of short-read RNA-seq data.,"With the development of transcriptomic technologies, we are able to quantify precise changes in gene expression profiles from astronauts and other organisms exposed to spaceflight. Members of NASA GeneLab and GeneLab-associated analysis working groups (AWGs) have developed a consensus pipeline for analyzing short-read RNA-sequencing data from spaceflight-associated experiments. The pipeline includes quality control, read trimming, mapping, and gene quantification steps, culminating in the detection of differentially expressed genes. This data analysis pipeline and the results of its execution using data submitted to GeneLab are now all publicly available through the GeneLab database. We present here the full details and rationale for the construction of this pipeline in order to promote transparency, reproducibility, and reusability of pipeline data; to provide a template for data processing of future spaceflight-relevant datasets; and to encourage cross-analysis of data from other databases with the data available in GeneLab.",Overbey EG; Saravia-Butler AM; Zhang Z; Rathi KS; Fogle H; da Silveira WA; Barker RJ; Bass JJ; Beheshti A; Berrios DC; Blaber EA; Cekanaviciute E; Costa HA; Davin LB; Fisch KM; Gebre SG; Geniza M; Gilbert R; Gilroy S; Hardiman G; Herranz R; Kidane YH; Kruse CPS; Lee MD; Liefeld T; Lewis NG; McDonald JT; Meller R; Mishra T; Perera IY; Ray S; Reinsch SS; Rosenthal SB; Strong M; Szewczyk NJ; Tahimic CGT; Taylor DM; Vandenbrink JP; Villacampa A; Weging S; Wolverton C; Wyatt SE; Zea L; Costes SV; Galazka JM,Omics; Space Sciences,2021,iScience,Journal Article,R50 CA243876/CA/NCI NIH HHS/United States
33551206,Are Your Mitochondria Ready for a Space Odyssey?,"Anticipating very long space trips, da Silveira et al. performed pan-omic analyses on in-flight samples from astronauts, mice, and cells. Results revealed major mitochondrial dysfunctions responsible for alterations in metabolism, immunity, and circadian rhythm, which should prompt the evaluation of countermeasures to reduce the risks of future space odysseys, especially toward the planet Mars.",Khiati S; Bonneau D; Lenaers G,genome; mitochondria; omics; space odyssey,2021,Trends in endocrinology and metabolism: TEM,Journal Article,
29652620,NASA GeneLab Project: Bridging Space Radiation Omics with Ground Studies.,"Accurate assessment of risks of long-term space missions is critical for human space exploration. It is essential to have a detailed understanding of the biological effects on humans living and working in deep space. Ionizing radiation from galactic cosmic rays (GCR) is a major health risk factor for astronauts on extended missions outside the protective effects of the Earth's magnetic field. Currently, there are gaps in our knowledge of the health risks associated with chronic low-dose, low-dose-rate ionizing radiation, specifically ions associated with high (H) atomic number (Z) and energy (E). The NASA GeneLab project ( https://genelab.nasa.gov/ ) aims to provide a detailed library of omics datasets associated with biological samples exposed to HZE. The GeneLab Data System (GLDS) includes datasets from both spaceflight and ground-based studies, a majority of which involve exposure to ionizing radiation. In addition to detailed information on radiation exposure for ground-based studies, GeneLab is adding detailed, curated dosimetry information for spaceflight experiments. GeneLab is the first comprehensive omics database for space-related research from which an investigator can generate hypotheses to direct future experiments, utilizing both ground and space biological radiation data. The GLDS is continually expanding as omics-related data are generated by the space life sciences community. Here we provide a brief summary of the space radiation-related data available at GeneLab.",Beheshti A; Miller J; Kidane Y; Berrios D; Gebre SG; Costes SV,,2018,Radiation research,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",
32265943,Test of Arabidopsis Space Transcriptome: A Discovery Environment to Explore Multiple Plant Biology Spaceflight Experiments.,"Recent advances in the routine access to space along with increasing opportunities to perform plant growth experiments on board the International Space Station have led to an ever-increasing body of transcriptomic, proteomic, and epigenomic data from plants experiencing spaceflight. These datasets hold great promise to help understand how plant biology reacts to this unique environment. However, analyses that mine across such expanses of data are often complex to implement, being impeded by the sheer number of potential comparisons that are possible. Complexities in how the output of these multiple parallel analyses can be presented to the researcher in an accessible and intuitive form provides further barriers to such research. Recent developments in computational systems biology have led to rapid advances in interactive data visualization environments designed to perform just such tasks. However, to date none of these tools have been tailored to the analysis of the broad-ranging plant biology spaceflight data. We have therefore developed the Test Of Arabidopsis Space Transcriptome (TOAST) database (https://astrobiology.botany.wisc.edu/astrobotany-toast) to address this gap in our capabilities. TOAST is a relational database that uses the Qlik database management software to link plant biology, spaceflight-related omics datasets, and their associated metadata. This environment helps visualize relationships across multiple levels of experiments in an easy to use gene-centric platform. TOAST draws on data from The US National Aeronautics and Space Administration's (NASA's) GeneLab and other data repositories and also connects results to a suite of web-based analytical tools to facilitate further investigation of responses to spaceflight and related stresses. The TOAST graphical user interface allows for quick comparisons between plant spaceflight experiments using real-time, gene-specific queries, or by using functional gene ontology, Kyoto Encyclopedia of Genes and Genomes pathway, or other filtering systems to explore genetic networks of interest. Testing of the database shows that TOAST confirms patterns of gene expression already highlighted in the literature, such as revealing the modulation of oxidative stress-related responses across multiple plant spaceflight experiments. However, this data exploration environment can also drive new insights into patterns of spaceflight responsive gene expression. For example, TOAST analyses highlight changes to mitochondrial function as likely shared responses in many plant spaceflight experiments.",Barker R; Lombardino J; Rasmussen K; Gilroy S,Arabidopsis thaliana; Qlik; RNAseq; bioinformatics; microarray; proteomics; spaceflight; transcriptomics,2020,Frontiers in plant science,Journal Article,
33074712,Comparisons of Transcriptome Profiles from Bacillus subtilis Cells Grown in Space versus High Aspect Ratio Vessel (HARV) Clinostats Reveal a Low Degree of Concordance.,"Although clinostats have long been used in space microbiology studies as ground-based analogs of spaceflight, few studies to date have systematically compared -omics data from clinostats versus spaceflight. This study compared the transcriptomic response of the Gram-positive bacterium Bacillus subtilis flown in space with corresponding transcriptomes derived from 2-D clinostat (High Aspect Ratio Vessel: HARV) experiments performed under the same conditions of bacterial strain, growth medium, temperature, and incubation time. High-quality total RNA (RNA Integrity Number >9.6) was isolated from multiple biological replicates from each treatment, transcripts were quantified by RNA-seq, and raw data was processed through a previously described standardized bioinformatics pipeline. Transcriptome data sets from spaceflight-grown and corresponding clinostat-grown cells were compared by using three different methods: (i) principal component analysis, (ii) analysis of differentially expressed genes, and (iii) gene set enrichment analysis of KEGG pathways. All three analyses found a low degree of concordance between the spaceflight and corresponding clinostat transcriptome data sets, ranging from 0.9% to 5.3% concordance. These results are in agreement with prior studies that also revealed low concordances between spaceflight and clinostat transcriptomes of the Gram-negative bacteria Rhodospirillum rubrum and Pseudomonas aeruginosa. The results are discussed from the perspective of several potential confounding factors, and suggestions are offered with the aim of achieving increased concordance between clinostat and spaceflight data.",Morrison MD; Nicholson WL,Bacillus subtilis; Clinostat; HARV; RPM; Simulated microgravity; Spaceflight; Transcriptomics,2020,Astrobiology,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",
35999570,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome.,"BACKGROUND: Antimicrobial resistance (AMR) has a detrimental impact on human health on Earth and it is equally concerning in other environments such as space habitat due to microgravity, radiation and confinement, especially for long-distance space travel. The International Space Station (ISS) is ideal for investigating microbial diversity and virulence associated with spaceflight. The shotgun metagenomics data of the ISS generated during the Microbial Tracking-1 (MT-1) project and resulting metagenome-assembled genomes (MAGs) across three flights in eight different locations during 12 months were used in this study. The objective of this study was to identify the AMR genes associated with whole genomes of 226 cultivable strains, 21 shotgun metagenome sequences, and 24 MAGs retrieved from the ISS environmental samples that were treated with propidium monoazide (PMA; viable microbes). RESULTS: We have analyzed the data using a deep learning model, allowing us to go beyond traditional cut-offs based only on high DNA sequence similarity and extending the catalog of AMR genes. Our results in PMA treated samples revealed AMR dominance in the last flight for Kalamiella piersonii, a bacteria related to urinary tract infection in humans. The analysis of 226 pure strains isolated from the MT-1 project revealed hundreds of antibiotic resistance genes from many isolates, including two top-ranking species that corresponded to strains of Enterobacter bugandensis and Bacillus cereus. Computational predictions were experimentally validated by antibiotic resistance profiles in these two species, showing a high degree of concordance. Specifically, disc assay data confirmed the high resistance of these two pathogens to various beta-lactam antibiotics. CONCLUSION: Overall, our computational predictions and validation analyses demonstrate the advantages of machine learning to uncover concealed AMR determinants in metagenomics datasets, expanding the understanding of the ISS environmental microbiomes and their pathogenic potential in humans. Video Abstract.",Madrigal P; Singh NK; Wood JM; Gaudioso E; Hernández-Del-Olmo F; Mason CE; Venkateswaran K; Beheshti A,Antibiotic resistance; Built-environment; ISS; Machine learning; Metagenomics; Microbial Tracking-1; Microbiome; NGS; Space Omics,2022,Microbiome,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Video-Audio Media",U01 DA053941/DA/NIDA NIH HHS/United States; R01 AI151059/AI/NIAID NIH HHS/United States
32933026,Integrated RNA-seq Analysis Indicates Asynchrony in Clock Genes between Tissues under Spaceflight.,"Rodent models have been widely used as analogs for estimating spaceflight-relevant molecular mechanisms in human tissues. NASA GeneLab provides access to numerous spaceflight omics datasets that can potentially generate novel insights and hypotheses about fundamental space biology when analyzed in new and integrated fashions. Here, we performed a pilot study to elucidate space biological mechanisms across tissues by reanalyzing mouse RNA-sequencing spaceflight data archived on NASA GeneLab. Our results showed that clock gene expressions in spaceflight mice were altered compared with those in ground control mice. Furthermore, the results suggested that spaceflight promotes asynchrony of clock gene expressions between peripheral tissues. Abnormal circadian rhythms are associated not only with jet lag and sleep disorders but also with cancer, lifestyle-related diseases, and mental disorders. Overall, our findings highlight the importance of elucidating the causes of circadian rhythm disruptions using the unique approach of space biology research to one day potentially develop countermeasures that benefit humans on Earth and in space.",Fujita SI; Rutter L; Ong Q; Muratani M,RNA-seq; bioinformatics; circadian rhythm; gene expression; genomics; microgravity; space biology; spaceflight,2020,"Life (Basel, Switzerland)",Journal Article,15K21745/Japan Society for the Promotion of Science/; 20H03234/Japan Society for the Promotion of Science/
32375154,The NASA Twins Study: The Effect of One Year in Space on Long-Chain Fatty Acid Desaturases and Elongases.,"BACKGROUND: At present, there is no clear understanding of the effect of long-duration spaceflight on the major enzymes that govern the metabolism of omega-6 and omega-3 fatty acids. To address this gap in knowledge, we used data from the NASA Twins Study, which includes a multiscale omics investigation of the changes that occurred during a year-long (340 days) human spaceflight. Embedded within the NASA Twins data are specific analytes associated with fatty acid metabolism. OBJECTIVES: To examine the long-chain fatty acid desaturases and elongases in a single human during 1 year in space. METHOD: One male twin was on board the International Space Station (ISS) for 1 year, while his monozygotic twin served as a genetically matched ground control. Longitudinal assessments included the genome, epige-nome, transcriptome, proteome, metabolome, microbiome, and immunome during the mission, as well as 6 months before and after. The gene-specific fatty acid desaturase and elongase transcriptome data (FADS1, FADS2, ELOVL2, and ELOVL5) were extracted from untargeted RNA-seq measurements derived from white blood cell fractions. RESULTS: Most data from the elongases and desaturases exhibited relatively similar expression profiles (R2 >0.6) over time for the CD8, CD19, and lymphocyte-depleted (LD) cell fractions, indicating overall conservation of function within and between the subjects. Both cell-type and temporal specificity was observed in some cases, and some differences were also apparent between the polyadenylated (polyA) fraction of processed RNAs versus the ribodepleted (ribo-) fraction. The flight subject showed a stronger enrichment of the fatty acid metabolic process pathway across almost all cell types (columns, CD4, CD8, CPT, and LD), most especially in the ribodepleted fraction of RNA, but also with the polyA+ fraction of RNA. Gene set enrichment analysis (GSEA) measures across three related fatty acid metabolism pathways showed a differential between the ground and the flight subject. CONCLUSIONS: There appears to be no persistent alteration of desaturase and elongase gene expression associated with 1 year in space. However, these data provide evidence that cellular lipid metabolism can be responsive and dynamic to spaceflight, even though it appears cell-type and context specific, most notably in terms of the fraction of RNA measured and the collection protocols. These results also provide new evidence of mid-flight spikes in expression of selected genes, which may indicate transient responses to specific insults during spaceflight.",Schmidt MA; Meydan C; Schmidt CM; Afshinnekoo E; Mason CE,Arachidonic acid; Desaturase; Docosahexaenoic acid; Eicosapentaenoic acid; Elongase; Fatty acids; International Space Station; Multiscale omics; NASA; NASA Twins Study; Spaceflight,2020,Lifestyle genomics,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.; Twin Study",R01 AI151059/AI/NIAID NIH HHS/United States; P01 HD067244/HD/NICHD NIH HHS/United States; R01 AI125416/AI/NIAID NIH HHS/United States; R01 ES021006/ES/NIEHS NIH HHS/United States; R01 CA249054/CA/NCI NIH HHS/United States; P01 CA214274/CA/NCI NIH HHS/United States; R01 MH117406/MH/NIMH NIH HHS/United States
31844325,Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver.,"Spaceflight has several detrimental effects on the physiology of astronauts, many of which are recapitulated in rodent models. Mouse studies performed on the Space Shuttle showed disruption of lipid metabolism in liver. However, given that these animals were not sacrificed on-orbit and instead returned live to earth, it is unclear if these disruptions were solely induced by space stressors (e.g. microgravity, space radiation) or in part explained by the stress of return to Earth. In this work we analyzed three liver datasets from two different strains of mice (C57BL/6 (Jackson) & BALB/c (Taconic)) flown aboard the International Space Station (ISS). Notably, these animals were sacrificed on-orbit and exposed to varying spaceflight durations (i.e. 21, 37, and 42 days vs 13 days for the Shuttle mice). Oil Red O (ORO) staining showed abnormal lipid accumulation in all space-flown mice compared to ground controls regardless of strain or exposure duration. Similarly, transcriptomic analysis by RNA-sequencing revealed several pathways that were affected in both strains related to increased lipid metabolism, fatty acid metabolism, lipid and fatty acid processing, lipid catabolic processing, and lipid localization. In addition, key upstream regulators were predicted to be commonly regulated across all conditions including Glucagon (GCG) and Insulin (INS). Moreover, quantitative proteomic analysis showed that a number of lipid related proteins were changed in the livers during spaceflight. Taken together, these data indicate that activation of lipotoxic pathways are the result of space stressors alone and this activation occurs in various genetic backgrounds during spaceflight exposures of weeks to months. If similar responses occur in humans, a prolonged change of these pathways may result in the development of liver disease and should be investigated further.",Beheshti A; Chakravarty K; Fogle H; Fazelinia H; Silveira WAD; Boyko V; Polo SL; Saravia-Butler AM; Hardiman G; Taylor D; Galazka JM; Costes SV,,2019,Scientific reports,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",
33646011,Bacterial Cellulose Retains Robustness but Its Synthesis Declines After Exposure to a Mars-like Environment Simulated Outside the International Space Station.,"Cellulose is a widespread macromolecule in terrestrial environments and a major architectural component of microbial biofilm. Therefore, cellulose might be considered a biosignature that indicates the presence of microbial life. We present, for the first time, characteristics of bacterial cellulose after long-term spaceflight and exposure to simuled Mars-like stressors. The pristine cellulose-based pellicle membranes from a kombucha microbial community (KMC) were exposed outside the International Space Station, and after their return to Earth, the samples were reactivated and cultured for 2.5 years to discern whether the KMC could be restored. Analyses of cellulose polymer integrity and mechanical properties of cellulose-based pellicle films, as well as the cellulose biosynthesis-related genes' structure and expression, were performed. We observed that (i) the cellulose polymer integrity was not significantly changed under Mars-like conditions; (ii) de novo cellulose production was 1.5 times decreased in exposed KMC samples; (iii) the dry cellulose yield from the reisolated Komagataeibacter oboediens was 1.7 times lower than by wild type; (iv) there was no significant change in mechanical properties of the de novo synthesized cellulose-based pellicles produced by the exposed KMCs and K. oboediens; and (v) the gene, encoding biosynthesis of cellulose (bcsA) of the K. oboediens, was downregulated, and no topological change or mutation was observed in any of the bcs operon genes, indicating that the decreased cellulose production by the space-exposed samples was probably due to epigenetic regulation. Our results suggest that the cellulose-based pellicle could be a good material with which to protect microbial communities during space journeys, and the cellulose produced by KMC members could be suitable in the fabrication of consumer goods for extraterrestrial locations.",Orlovska I; Podolich O; Kukharenko O; Zaets I; Reva O; Khirunenko L; Zmejkoski D; Rogalsky S; Barh D; Tiwari S; Kumavath R; Góes-Neto A; Azevedo V; Brenig B; Ghosh P; de Vera JP; Kozyrovska N,Bacterial cellulose; Extraterrestrial stressors; Komagataeibacter oboediens; Kombucha multimicrobial community; Microbial biosignature; The bcs operon.,2021,Astrobiology,"Journal Article; Research Support, Non-U.S. Gov't",
33476085,Shotgun metagenomic analysis of kombucha mutualistic community exposed to Mars-like environment outside the International Space Station.,"Kombucha is a multispecies microbial ecosystem mainly composed of acetic acid bacteria and osmophilic acid-tolerant yeasts, which is used to produce a probiotic drink. Furthermore, Kombucha Mutualistic Community (KMC) has been recently proposed to be used during long space missions as both a living functional fermented product to improve astronauts' health and an efficient source of bacterial nanocellulose. In this study, we compared KMC structure and functions before and after samples were exposed to the space/Mars-like environment outside the International Space Station in order to investigate the changes related to their re-adaptation to Earth-like conditions by shotgun metagenomics, using both diversity and functional analyses of Community Ecology and Complex Networks approach. Our study revealed that the long-term exposure to space/Mars-like conditions on low Earth orbit may disorganize the KMC to such extent that it will not restore the initial community structure; however, KMC core microorganisms of the community were maintained. Nonetheless, there were no significant differences in the community functions, meaning that the KMC communities are ecologically resilient. Therefore, despite the extremely harsh conditions, key KMC species revived and provided the community with the genetic background needed to survive long periods of time under extraterrestrial conditions.",Góes-Neto A; Kukharenko O; Orlovska I; Podolich O; Imchen M; Kumavath R; Kato RB; de Carvalho DS; Tiwari S; Brenig B; Azevedo V; Reva O; de Vera JP; Kozyrovska N; Barh D,,2021,Environmental microbiology,"Journal Article; Research Support, Non-U.S. Gov't",
25349715,The Proteome of a Healthy Human during Physical Activity under Extreme Conditions.,"The review examines the new approaches in modern systems biology, in terms of their use for a deeper understanding of the physiological adaptation of a healthy human in extreme environments. Human physiology under extreme conditions of life, or environmental physiology, and systems biology are natural partners. The similarities and differences between the object and methods in systems biology, the OMICs (proteomics, transcriptomics, metabolomics) disciplines, and other related sciences have been studied. The latest data on environmental human physiology obtained using systems biology methods are discussed. The independent achievements of systems biology in studying the adaptation of a healthy human to physical activity, including human presence at high altitude, to the effects of hypoxia and oxidative stress have been noted. A reasonable conclusion is drawn that the application of the methods and approaches used in systems biology to study the molecular pattern of the adaptive mechanisms that develop in the human body during space flight can provide valuable fundamental knowledge and fill the picture of human metabolic pathways.",Larina IM; Ivanisenko VA; Nikolaev EN; Grigorev AI,integrative physiology; proteomics; space flight; systems biology,2014,Acta naturae,Journal Article,
33445483,Knowledge Network Embedding of Transcriptomic Data from Spaceflown Mice Uncovers Signs and Symptoms Associated with Terrestrial Diseases.,"There has long been an interest in understanding how the hazards from spaceflight may trigger or exacerbate human diseases. With the goal of advancing our knowledge on physiological changes during space travel, NASA GeneLab provides an open-source repository of multi-omics data from real and simulated spaceflight studies. Alone, this data enables identification of biological changes during spaceflight, but cannot infer how that may impact an astronaut at the phenotypic level. To bridge this gap, Scalable Precision Medicine Oriented Knowledge Engine (SPOKE), a heterogeneous knowledge graph connecting biological and clinical data from over 30 databases, was used in combination with GeneLab transcriptomic data from six studies. This integration identified critical symptoms and physiological changes incurred during spaceflight.",Nelson CA; Acuna AU; Paul AM; Scott RT; Butte AJ; Cekanaviciute E; Baranzini SE; Costes SV,knowledge graph; spaceflight; transcriptomics,2021,"Life (Basel, Switzerland)",Journal Article,T32 GM067547/GM/NIGMS NIH HHS/United States; NSF_2033569/National Science Foundation/
34769236,"Mitochondrial Effects in the Liver of C57BL/6 Mice by Low Dose, High Energy, High Charge Irradiation.","Galactic cosmic rays are primarily composed of protons (85%), helium (14%), and high charge/high energy ions (HZEs) such as (56)Fe, (28)Si, and (16)O. HZE exposure is a major risk factor for astronauts during deep-space travel due to the possibility of HZE-induced cancer. A systems biology integrated omics approach encompassing transcriptomics, proteomics, lipidomics, and functional biochemical assays was used to identify microenvironmental changes induced by HZE exposure. C57BL/6 mice were placed into six treatment groups and received the following irradiation treatments: 600 MeV/n (56)Fe (0.2 Gy), 1 GeV/n (16)O (0.2 Gy), 350 MeV/n (28)Si (0.2 Gy), (137)Cs (1.0 Gy) gamma rays, (137)Cs (3.0 Gy) gamma rays, and sham irradiation. Left liver lobes were collected at 30, 60, 120, 270, and 360 days post-irradiation. Analysis of transcriptomic and proteomic data utilizing ingenuity pathway analysis identified multiple pathways involved in mitochondrial function that were altered after HZE irradiation. Lipids also exhibited changes that were linked to mitochondrial function. Molecular assays for mitochondrial Complex I activity showed significant decreases in activity after HZE exposure. HZE-induced mitochondrial dysfunction suggests an increased risk for deep space travel. Microenvironmental and pathway analysis as performed in this research identified possible targets for countermeasures to mitigate risk.",Barnette BL; Yu Y; Ullrich RL; Emmett MR,integrated omics; liver; mitochondrial dysfunction; space radiation; systems biology,2021,International journal of molecular sciences,Journal Article,NNX15AD65G/NASA/NASA/United States
32045996,NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models.,"Background: Ionizing radiation from galactic cosmic rays (GCR) is one of the major risk factors that will impact the health of astronauts on extended missions outside the protective effects of the Earth's magnetic field. The NASA GeneLab project has detailed information on radiation exposure using animal models with curated dosimetry information for spaceflight experiments. Methods: We analyzed multiple GeneLab omics datasets associated with both ground-based and spaceflight radiation studies that included in vivo and in vitro approaches. A range of ions from protons to iron particles with doses from 0.1 to 1.0 Gy for ground studies, as well as samples flown in low Earth orbit (LEO) with total doses of 1.0 mGy to 30 mGy, were utilized. Results: From this analysis, we were able to identify distinct biological signatures associating specific ions with specific biological responses due to radiation exposure in space. For example, we discovered changes in mitochondrial function, ribosomal assembly, and immune pathways as a function of dose. Conclusions: We provided a summary of how the GeneLab's rich database of omics experiments with animal models can be used to generate novel hypotheses to better understand human health risks from GCR exposures.",McDonald JT; Stainforth R; Miller J; Cahill T; da Silveira WA; Rathi KS; Hardiman G; Taylor D; Costes SV; Chauhan V; Meller R; Beheshti A,GeneLab; HZE; NASA; dosimetry; galactic cosmic rays; radiation; space radiation; transcriptomics,2020,Cancers,Journal Article,U54CA118638/CA/NCI NIH HHS/United States; Division of Space Life and Physical Sciences Research and Applications/NASA's
25102863,An integrated omics analysis: impact of microgravity on host response to lipopolysaccharide in vitro.,"BACKGROUND: Microgravity facilitates the opportunistic infections by augmenting the pathogenic virulence and suppressing the host resistance. Hence the extraterrestrial infections may activate potentially novel bionetworks different from the terrestrial equivalent, which could only be probed by investigating the host-pathogen relationship with a minimum of terrestrial bias. RESULTS: We customized a cell culture module to expose human endothelial cells to lipopolysaccharide (LPS). The assay was carried out onboard the STS-135 spaceflight, and a concurrent ground study constituted the baseline. Transcriptomic investigation revealed a possible immune blunting in microgravity suppressing in particular Lbp, MyD88 and MD-2, which encode proteins responsible for early LPS uptake. Certain cytokines, such as IL-6 and IL-8, surged in response to LPS insult in microgravity, as suggested by the proteomics study. Contrasting proteomic expressions of B2M, TIMP-1 and VEGRs suggested impaired pro-survival adaptation and healing mechanisms. Differential expression of miR-200a and miR-146b suggested the susceptibility of hosts in spaceflight to oxidative stress and further underscored the influence of microgravity on the immunity. CONCLUSIONS: A molecular interpretation explaining the etiology of the microgravitational impact on the host-pathogen relationship elucidated comprehensive immune blunting of the host cells responding to LPS challenges. Longer LPS exposure prompted a delayed host response, potentially ineffectual in preventing pathogens from opportunistic invasion. Significant consequences include the subsequent failure in recruiting the growth factors and a debilitated apoptosis. Follow up studies with larger sample size are warranted.",Chakraborty N; Gautam A; Muhie S; Miller SA; Jett M; Hammamieh R,,2014,BMC genomics,"Journal Article; Research Support, U.S. Gov't, Non-P.H.S.",
30717456,GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species.,"Space radiation has recently been considered a risk factor for astronauts' cardiac health. As an example, for the case of how to query and identify datasets within NASA's GeneLab database and demonstrate the database utility, we used an unbiased systems biology method for identifying key genes/drivers for the contribution of space radiation on the cardiovascular system. This knowledge can contribute to designing appropriate experiments targeting these specific pathways. Microarray data from cardiomyocytes of male C57BL/6 mice followed-up for 28 days after exposure to 900 mGy of 1 GeV proton or 150 mGy of 1 GeV/n (56)Fe were compared to human endothelial cells (HUVECs) cultured for 7 days on the International Space Station (ISS). We observed common molecular pathways between simulated space radiation and HUVECs flown on the ISS. The analysis suggests FYN is the central driver/hub for the cardiovascular response to space radiation: the known oxidative stress induced immediately following radiation would only be transient and would upregulate FYN, which in turn would reduce reactive oxygen species (ROS) levels, protecting the cardiovascular system. The transcriptomic signature of exposure to protons was also much closer to the spaceflight signature than (56)Fe's signature. To our knowledge, this is the first time GeneLab datasets were utilized to provide potential biological indications that the majority of ions on the ISS are protons, clearly illustrating the power of omics analysis. More generally, this work also demonstrates how to combine animal radiation studies done on the ground and spaceflight studies to evaluate human risk in space.",Beheshti A; McDonald JT; Miller J; Grabham P; Costes SV,FYN; GeneLab; HUVECs; HZE irradiation; ROS; cardiomyocytes; cardiovascular; iron; protons; reactive oxygen species; space radiation,2019,International journal of molecular sciences,Journal Article,Solicitation #: NNH16ZTT001N-FG/NASA Space Biology program grant Appendix G:
28230966,Increasing Peak Capacity in Nontargeted Omics Applications by Combining Full Scan Field Asymmetric Waveform Ion Mobility Spectrometry with Liquid Chromatography-Mass Spectrometry.,"Full scan field asymmetric waveform ion mobility spectrometry (FAIMS) combined with liquid chromatography and mass spectrometry (LC-FAIMS-MS) is shown to enhance peak capacity for omics applications. A miniaturized FAIMS device capable of rapid compensation field scanning has been incorporated into an ultrahigh performance liquid chromatography (UHPLC) and time-of-flight mass spectrometry analysis, allowing the acquisition of full scan FAIMS and MS nested data sets within the time scale of a UHPLC peak. Proof of principle for the potential of scanning LC-FAIMS-MS in omics applications is demonstrated for the nontargeted profiling of human urine using a HILIC column. The high level of orthogonality between FAIMS and MS provides additional unique compound identifiers with detection of features based on retention time, FAIMS dispersion field and compensation field (DF and CF), and mass-to-charge (m/z). Extracted FAIMS full scan data can be matched to standards to aid the identification of unknown analytes. The peak capacity for features detected in human urine using LC-FAIMS-MS was increased approximately threefold compared to LC-MS alone due to a combination of the reduction of chemical noise and separation of coeluting isobaric species across the entire analytical space. The use of FAIMS-selected in source collision induced dissociation (FISCID) yields fragmentation of ions, which reduces sample complexity associated with overlapping fragmentation patterns and provides structural information on the selected precursor ions.",Arthur KL; Turner MA; Reynolds JC; Creaser CS,,2017,Analytical chemistry,"Journal Article; Research Support, Non-U.S. Gov't",
